eid,empname,website,corporatewebsite,additionalwebsites,leadership,hrcontactinfo,jobfaircontactinfo,location,region,geo,size,noofemp,emptype,ticker,affiliates,news,budget,facebook,twitter,socialmedia,missionstmt,overview,culture,financials,citations,poi,linkedin,990taxforms
27,Fidelity Investments,"<a href=""https://www.fidelity.com/"" target=""_blank"">Fidelity Investments Website</a>",,"<a href=""https://www.fidelitylabs.com/blog"" target=""_blank"">Fidelity Labs Technology Blog</a>","Edward C Johnson, Chairman and CEO<br/> Abigail Pierrpont Johnson, Head of Distribution Channels<br/>Charles S. Morrison, President of Asset Management<br/>James C Curvey, Acting Chairman, Board of Trustees","<a href=""http://jobs.fidelity.com/index.html"" target=""_blank"">Careers Website</a>",,"Boston, MA","New England, Middle Atlantic, South Atlantic, East North Central, East South Central, West North Central, West South Central, Mountain, Pacific (includes Hawaii and Alaska), Outside U.S.",International,"Large (More than 10,000 employees)","40,000",4,,National Financial<br/>Fidelity Management &#38; Research Company<br/>Fidelity Management Trust Company<br/>and others,http://marist.summon.serialssolutions.com/search?s.cmd=setSort(PublicationDate:desc)&s.light=t&s.q=%22fidelity+investments%22+TitleCombined:(%22fidelity+investments%22)&format=rss,,https://www.facebook.com/FidelityJobs,https://twitter.com/Fidelity,,"""The customer is always first. Our customers have to be able to trust us with complete faith to manage and help secure their financial futures. Our business is based on developing long-term relationships built on this trust. The way to build those relationships is by doing the right thing for our customers every single time. This is not only the right thing to do ethics-wise; it""s the right thing to do business-wise. Our founding principle six decades ago, it rings as true today."" 
 
<a href=""http://jobs.fidelity.com/our-culture/our-beliefs-values/index.html"" target=""_blank"">More Information</a> ","<ul><li>Founded in 1946.</li><li>Provides a wide variety of financial services and investment resources including investment management, retirement planning, portfolio guidance, brokerage, benefits and outsourcing.</li>
<li>The nation""s number one provider of 401(k) retirement savings plans.</li> <li>Headquarters in Boston, operates in the Americas, Europe, and Asia.</li><li>Several regional centers across the United States and Canada, including: Albuquerque, NM; Cincinnati, OH; Covington, KY; Dallas, TX; Denver, CO; Jacksonville, FL; Merrimack, NH; New York/New Jersey; North Carolina; Salt Lake City, UT; Smithfield, RI; and Toronto, Canada.</li></ul>","At Fidelity, our success depends on attracting the best people. That""s why our team is made up of the most talented and dedicated individuals in their field. People who are passionate. People who are driven. People who act with the highest level of integrity and personal attention to detail. Our employees continually strive to innovate and develop exceptional products and services.",<ul><li>Revenue: $12.6 billion</li><li>Total assets under administration: $1.9 trillion</li></ul>,,"<ul><li>In 2015, Fidelity teamed up with Google to invest $1 billion in SpaceX, a company with the goal of human settlement on Mars.</li></ul>","<a href=""http://www.linkedin.com/company/fidelity-investments/careers"" target=""_blank"">LinkedIn</a>",
29, Frontier Communications," <a href=""http://frontier.com/"" target=""_blank"">Frontier Communications Website</a>",,,"Maggie Wilderotter, Chairman and CEO<br/>
Daniel J. McCarthy, President and COO<br/>
John M. Jureller, Executive Vice President and CFO","<a href=""http://frontier.com/careers2"" target=""_blank"">Careers Website</a>",,"Stamford, CT","New England, Middle Atlantic, South Atlantic, East North Central, East South Central, West North Central, West South Central, Mountain, Pacific (includes Hawaii and Alaska)",National,"Large (More than 10,000 employees)","16,400",3,FTR,"Citizens Telecommunications Company of California, Inc.<br/>
Citizens Telecommunications Company of Minnesota, Inc.<br/>
Commonwealth Telephone Enterprises, Inc.<br/>
Frontier Communications of Viroqua Inc.<br/>
Frontier North, Inc.",http://marist.summon.serialssolutions.com/search?s.q=%22Frontier+Communications%22&format=rss,,https://www.facebook.com/FrontierCorp,https://twitter.com/FrontierCorp,"<a href=""https://plus.google.com/+FrontierCorp/posts"" target=""_blank"">Google+</a>",“Be the leader in providing communications services to residential and business customers in our markets.”,"<ul><li>One of the nation""s largest providers of communication services focused on rural America.</li>
<li>Founded in 1935.</li>
<li>Operates in 28 states.</li>
<li>Products include: voice, broadband, satellite video, wireless internet data access, data security solutions, bundled offerings, specialized bundles for small businesses and home offices, and advanced business communications.</li></ul>","When you walk into a Frontier facility or office you can “feel” that it is a fast-paced operation and the words “I can help”, “customer,” and “I will own it” come up a lot. That is because our culture is all about serving our customers – delighting our customers with our great products and services. We strive to enhance the digital lives and livelihoods of our customers every day. <a href=""http://frontier.com/CT/employees/common-questions"" target=""_blank"">More Information</a>","<ul><li>Revenue: $4.8 billion</li>
<li>Net Income: $115.5 million</li></ul>",,<ul><li>Frontier has work-at-home and job sharing opportunities.</li></ul>,"<a href=""https://www.linkedin.com/company/frontier-communications"" target=""_blank"">LinkedIn</a>",
30,"Grant Thornton, LLP","<a href=""http://www.grantthornton.com/ "" target=""_blank"">Grant Thornton, LLP Website</a>",,,"Stephen M. Chipman, CEO<br/>
Kenneth R. Cunningham, Chief Legal Officer<br/>
Edward E. Nusbaum, CEO Grant Thornton International<br/>
Russell Wieman, CFO","<a href=""http://www.grantthornton.com/careers.aspx"" target=""_blank"">Careers Website</a>",,"Chicago, IL","New England, Middle Atlantic, South Atlantic, East North Central, East South Central, West North Central, West South Central, Mountain, Pacific (includes Hawaii and Alaska), Outside U.S.",International,"Medium (500-9,999 employees)","6,438",4,,,"http://marist.summon.serialssolutions.com/search?s.cmd=addFacetValueFilters(ContentType,Magazine+Article)&s.fvf%5B%5D=ContentType,Journal+Article,f&s.fvf%5B%5D=ContentType,Newspaper+Article,f&s.fvf%5B%5D=ContentType,Trade+Publication+Article,f&s.light=t&s.q=%22Grant+Thornton+LLP%22&s.sort=PublicationDate:desc&format=rss ",,https://www.facebook.com/GrantThorntonCareers,https://twitter.com/GrantThorntonUS,,"“To make a difference to our colleagues, our clients, our profession and our communities.
To be the leading audit, tax and advisory firm serving dynamic organizations in our chosen markets.”","<ul><li>Founded in Chicago in 1924.</li>
<li>U.S. Subsidiary of the private company, Grant Thornton International.</li>
<li>Specializes in tax preparation, audit and financial advice.</li>
<li>Works with public and private companies as well as government bodies.</li></ul>","“We pride ourselves on cultivating a culture where people are inspired to bring their whole selves to work each day. We are an organization bound together by a set of global values and supporting behaviors that shape the way we work with our clients, with each other and within our communities. We are committed to creating an environment where you can thrive professionally and personally. Our collaborative, vibrant and inclusive culture is what sets us apart from our competitors and makes Grant Thornton a great place to work.”",$1.3 billion in Revenue,,"<ul><li>Fosters employee career development through its award wining leadership development program, LEADS.</li>
<li>Grant Thornton LLC participates in Marist""s Revamp Your Resume Day.</li></ul>","<a href=""http://www.linkedin.com/company/grant-thornton-llp"" target=""_blank"">LinkedIn</a>",
32,"Goldman Sachs Group, Inc."," <a href=""http://www.goldmansachs.com/"" target=""_blank"">Goldman Sachs Website</a>","  <a href=""http://www.goldmansachs.com/investor-relations/index.html"" target=""_blank"">Goldman Sachs Corporate Website</a>
","<a href=""http://www.goldmansachs.com/careers/blog/"" target=""_blank"">Careers Blog</a>","Lloyd C. Blankfein, CEO<br/>
Harvey M. Schwartz, CFO<br/>
Gary D. Cohn, COO","<a href=""http://www.goldmansachs.com/careers/index.html"" target=""_blank"">Careers Website</a>",,"New York, NY","New England, Middle Atlantic, South Atlantic, East North Central, East South Central, West North Central, West South Central, Mountain, Pacific (includes Hawaii and Alaska), Outside U.S.",International,"Large (More than 10,000 employees)","32,900",3,GS,,"http://marist.summon.serialssolutions.com/search?s.cmd=setSort(PublicationDate:desc)&s.fvf%5B%5D=ContentType,Journal+Article,f&s.fvf%5B%5D=ContentType,Magazine+Article,f&s.fvf%5B%5D=ContentType,Newspaper+Article,f&s.fvf%5B%5D=ContentType,Trade+Publication+Article,f&s.light=t&s.q=TitleCombined:(goldman+sachs)&format=rss",,https://www.facebook.com/goldmansachs,https://twitter.com/GoldmanSachs,"<a href=""https://www.youtube.com/user/GoldmanSachs"" target=""_blank"">YouTube</a>","“Our clients"" interest always comes first...Our goal is to provide superior returns to our shareholders...We constantly strive to anticipate the rapidly changing needs of our clients and to develop new services to meet those needs...Integrity and honesty are at the heart of our business.” <br/> <a href=""http://www.goldmansachs.com/who-we-are/business-standards/business-principles/index.html"" target=""_blank"">More Information</a>","<ul><li>“The Goldman Sachs Group, Inc. is a leading global investment banking, securities and investment management firm that provides a wide range of financial services to a substantial and diversified client base that includes corporations, financial institutions, governments and high-net-worth individuals.”</li>
<li>The firm was founded in 1869 and is headquartered in New York.</li></ul>","“Our people are our greatest asset – we say it often and with good reason. It is only with the determination and dedication of our people that we can serve our clients, generate long-term value for our shareholders and contribute to the broader public.”
<br/><a href=""http://www.goldmansachs.com/who-we-are/people-and-culture/index.html"" target=""_blank"">More Information</a>","<ul><li>Net revenues: $34.2 billion</li>
<li>Net earnings: $8 billion</li></ul>",,<ul><li>The Goldman Sachs Group maintains offices in all major world financial centers.</li></ul>,"<a href=""https://www.linkedin.com/company/goldman-sachs"" target=""_blank"">LinkedIn</a><br/> <a href=""http://www.linkedin.com/company/goldman-sachs/careers"" target=""_blank"">Careers LinkedIn</a><br/> <a href=""https://www.linkedin.com/job/goldman-sachs/jobs/"" target=""_blank"">Jobs LinkedIn</a>  ",
33,Haddad Brands,"<a href=""http://www.haddad.com/welcome-to-haddad-brands"" target=""_blank"">Haddad Brands Website</a><br/>
<a href=""http://www.haddadapparel.com/"" target=""_blank"">Haddad Brands Website</a>",,,"Sam Haddad, Owner<br/>
Roger Baum, COO*","careers@haddad.com <br/>
<a href=""http://www.haddad.com/careers"" target=""_blank"">Careers Website</a> ",,"New York, NY","New England, Middle Atlantic, South Atlantic, East North Central, East South Central, West North Central, West South Central, Mountain, Pacific (includes Hawaii and Alaska), Outside U.S.",International,"Medium (500-9,999 employees)",800,4,,,"http://marist.summon.serialssolutions.com/search?s.cmd=removeFacetValueFilter(ContentType,Journal+Article)&s.fvf=ContentType,Journal+Article,f&s.light=t&s.q=%22Haddad+Brands%22&s.sort=PublicationDate:desc&format=rss",,https://www.facebook.com,https://twitter.com/Haddadbrands,"<a href=""https://www.youtube.com/user/haddadtrainingvideos"" target=""_blank"">YouTube</a> ",“Haddad Brands will exceed the expectations of our business partners and consumers worldwide. Our dedicated team is committed to achieving excellence in everything we do. We will responsibly represent the integrity of each of our brands with passion and purpose.”,"<ul><li>A family owned business established over 60 years ago.</li>
<li>Children""s apparel and accessory wholesaler that acts as an intermediary between manufacturing companies and retailers.</li></ul> <br/>

Brands:<br/>
Nike<br/>
Jordan<br/>
Levi""s <br/>
Nike SB<br/>
Converse",,Unavailable,"*From <a href=""http://www.linkedin.com/pub/jennifer-martin/80/356/9a7?trk=biz_employee_pub"" target=""_blank"">LinkedIn Profile of Jennifer Martin, employee at Haddad Brands</a></br>**From <a href=""https://www.youtube.com/user/haddadtrainingvideos"" target=""_blank"">Haddad Brands YouTube Channel</a>",<ul><li>Sponsors an annual Kids Rock fashion show.**</li></ul>,"<a href=""https://www.linkedin.com/company/haddad-brands"" target=""_blank"">LinkedIn</a>",
34,Health Quest,"<a href=""www.health-quest.org"" target=""_blank"">Health Quest Website</a>",,,"Luke McGuinness, President and CEO <br/>
Robert Friedberg, President VBMC and EVP<br/>
Denise George, President NDH and SVP Clinical Services<br/>
James Caldas, President PHC"," <a href=""https://careers-healthquest.icims.com/jobs"" target=""_blank"">Careers Website</a>

",," LaGrangeville, NY",Middle Atlantic,Local,"Medium (500-9,999 employees)",,4,,,"http://marist.summon.serialssolutions.com/search?s.cmd=addFacetValueFilters(ContentType,Newspaper+Article)&s.light=t&s.q=%22Health+Quest%22&s.sort=PublicationDate:desc&format=rss",,https://www.facebook.com/myhealthquest,https://twitter.com/myhealthquest,"<a href=""https://www.youtube.com/user/myhealthquest"" target=""_blank"">YouTube</a> ","“To improve the health of the communities that we serve in the Hudson Valley by providing quality patient care based on our commitment to excellence, innovation, and state-of-the-art technologies.""","<ul><li>Provides an integrated range of medical and healthcare services, including:</li></ul><ul><ul><ul><li> Vassar Bros., Poughkeepsie</li><li>Putnam Hosp.Center, Carmel</li><li>Northern Dutchess Hosp., Rhinebeck</li><li>Multiple Health Quest Medical Practices (HQMP) over 4 Mid-hudson counties</li><li>2 Urgent Care facilities</li><li>Heart Center:complete, advanced cardiovascular care</li><li>Hudson Valley Home Care</li><li>Thompson House - skilled Nursing facility</li><li>Well""s Manor - independent senior housing</li><li>Vassar Bros Medical Mall, Fishkill</li><li>Ulster Radiation Oncology Center</li></ul></ul></ul><br/><li>Health Quest has a parent company, Health Quest Systems, Inc.</li></ul>",,"<a href=""http://bi.galegroup.com.online.library.marist.edu/essentials/company/1605777?u=nysl_se_marist#"" target=""_blank"">See Health Quest Company Profile in Business Insights Essentials</a>",,<ul><li>Health Quest has established the Health Quest Medical Technology Scholarship at Marist College to provide scholarship assistance for a student pursuing a degree in medical technology. </li></ul>,"<a href=""https://www.linkedin.com/company/health-quest"" target=""_blank"">LinkedIn</a>",
36,Hudson Valley Federal Credit Union," <a href=""https://www.hvfcu.org/"" target=""_blank"">Hudson Valley Federal Credit Union Website</a>",,,"Mary Madden, President and CEO<br/> Noreen Hennessy, Chairman of the Board","<a href=""https://www.hvfcu.org/about-us/careers/overview"" target=""_blank"">Careers Website</a>",,"Poughkeepsie, NY",Middle Atlantic,Local,Small (Under 500 employees),294,4,,HVFCU Financial Services<br/> Hudson Valley Insurance Agency,https://www.google.com/alerts/feeds/14892193295835970172/5226340781594751571,,https://www.facebook.com/HVFCU,https://twitter.com/HVFCU,,“Excel in meeting the financial needs and wants of our members while maintaining a sound financial position.” ,"<ul><li>Began in 1963 as IBM Poughkeepsie Employees Federal Credit Union.</li><li>In 1983, membership expanded to include all Dutchess County IBM employees, retirees, and family members.</li><li>In 1994, it became SEG-based and changed its name to Hudson Valley Federal Credit Union.</li><li>A not-for-profit financial cooperative serving Dutchess, Ulster, Orange and Putnam Counties in NY.</li><li>Services include checking accounts, savings accounts, vehicle loans, home equity loans and lines of credit, mortgages, financial planning through HVFCU Financial Services, property and casualty insurance through Hudson Valley Insurance Agency, business loans and accounts, and VISA debit, credit, and gift cards.</li><li>Over 280,000 members.</li></ul>",,<ul><li>Total Assets: $3.8 billion</li><li>Member Savings: $3.4 billion</li><li>Member Loans: $1.9 billion</li></ul>,,"<ul><li>Hudson Valley Federal Credit Union serves Dutchess, Ulster, Putnam and Orange Counties.</li></ul>","<a href=""https://www.linkedin.com/company/hudson-valley-federal-credit-union"" target=""_blank"">LinkedIn</a>",
37,IBM (International Business Machines),"<a href=""http://www.ibm.com/us/en/"" target=""_blank"">IBM Website</a>","<a href=""http://www.ibm.com/investor/?lnk=fif-inve-usen"" target=""_blank"">IBM Corporate Website</a>",,"Virginia M. Rometty Chairman, President and Chief Executive Officer","<a href=""http://www-03.ibm.com/employment/?lnk=fif-jsee-usen"" target=""_blank"">Careers Website</a><br/>
<a href=""https://jobs3.netmedia1.com/cp/faces/contact"" target=""_blank"">Contact</a>",,"Armonk, NY","New England, Middle Atlantic, South Atlantic, East North Central, East South Central, West North Central, West South Central, Mountain, Pacific (includes Hawaii and Alaska), Outside U.S.",International,"Large (More than 10,000 employees)","431,212*",3,IBM,," http://marist.summon.serialssolutions.com/search?s.fvf=ContentType%2CNewspaper+Article%2Cf&s.light=t&s.q=IBM&s.sort=PublicationDate%3Adesc&s.cmd=addFacetValueGroupFilter(SubjectTerms,or,computer+industry)&format=rss",,https://www.facebook.com/IBMCollegeCareersNorthAmerica,https://twitter.com/IBMUSjobs,,"“IBMers value dedication to every client""s success, innovation that matters- for our company and our world, trust and personal responsibility in all relationships.”","<ul><li>IBM is a technology company offering software, hardware, and consulting services. IBM""s current strategy is to “make markets by transforming industries and professions with data, remake enterprise IT for the era of the Cloud, enable systems of engagement for enterprises and lead by example.”*</li><li>IBM""s business components are: Global Services, Software, Systems and Technology, and Global Financing.</li> <li>IBM""s offerings include consulting for business strategy and analytics, enterprise mobility services, cloud computing services, data services, software products and systems products.</li></ul>",,"<ul><li>Net Income $16.5 billion </li>
<li>Revenue $99.8 billion</li>
<li>Total Assets $126 million **</li></ul>","*From <a href=""http://www.sec.gov/Archives/edgar/data/51143/000104746914001302/0001047469-14-001302-index.htm"" target=""_blank"">10-K Report</a></br>**From <a href=""http://www.ibm.com/annualreport/2013/bin/assets/2013_ibm_annual.pdf"" target=""_blank"">2013 Annual Report </a>","<ul><li><IBM ranks sixth in Universum""s 2014 list of World""s Most Attractive Employers.</li> <li>IBM and Marist College are long-time partners in academic computing initatives through the Marist/IBM Joint Study program.</li></ul>","<a href=""https://www.linkedin.com/company/ibm"" target=""_blank"">LinkedIn</a>",
38,Indeed,"<a href=""http://www.indeed.com/about"" target=""_blank"">Indeed Website</a>","<a href=""http://www.recruit-rgf.com/"" target=""_blank"">Recruit Holdings Inc. Corporate Website</a>",,"Paul Forster, Indeed co-founder<br/>
Rony Kahan, Indeed co-founder<br/>
Masumi Minegishi, Recruit Holdings Co., Ltd President and CEO","<a href=""http://www.indeed.jobs/"" target=""_blank"">Careers Website</a>",,"Austin, TX","New England, Middle Atlantic, South Atlantic, East North Central, East South Central, West North Central, West South Central, Mountain, Pacific (includes Hawaii and Alaska), Outside U.S.",International,"Medium (500-9,999 employees)",600,4,,,"http://marist.summon.serialssolutions.com/search?s.fvf=ContentType%2CNewspaper+Article%2Cf&s.light=t&s.q=indeed.com&s.sort=PublicationDate%3Adesc&s.cmd=addFacetValueGroupFilter(SubjectTerms,or,job+hunting)&format=rss",,https://www.facebook.com/IndeedJobs,http://twitter.com/indeed,,“We help people all over the world hire and get hired.”,"<ul><li>Indeed is an international job postings aggregator which allows individuals to search for jobs and employers to post jobs.</li><li>Indeed was founded in 2004 and purchased in 2012 by Recruit Holdings Co., a private Japanese recruiting company.</li><li>Indeed has four locations in the United States and locations in Dublin and London.</li><li>Indeed receives 140 million visitors per month and has over 25,000 employer clients.</li></ul>",,"Recruit Holdings Co., Ltd 2013 Operating Revenue 1.2 million Yen*","*From <a href=""http://www.recruit-rgf.com/ir/library/upload/f14_54_fs.pdf"" target=""_blank"">Recruit Holdings Co., Ltd Fiscal Year 2013 Financial Results</a>","<ul><li>Perks of working for Indeed include endless snacks and drinks, catered meals, happy hours and a casual dress code. </li></ul>","<a href=""https://www.linkedin.com/company/indeed.com"" target=""_blank"">LinkedIn</a>",
41,"Kohl""s Corporation","<a href=""http://www.kohls.com/"" target=""_blank"">Kohl""s Corporation Website</a>","<a href=""http://www.kohlscorporation.com/AboutKohls/AboutKohls01.htm"" target=""_blank"">Kohl""s Corporation Corporate Website</a>",,"Kevin Mansell, CEO<br/>
Michelle Gass, Chief Customer Officer<br/>
Wesley S. McDonald, CFO*","KohlsCareersSupport@kohls.com<br/>
<a href=""http://kohlscareers.com/"" target=""_blank"">Careers Website</a>",,"Menomonee Falls, WI","New England, Middle Atlantic, South Atlantic, East North Central, East South Central, West North Central, West South Central, Mountain, Pacific (includes Hawaii and Alaska)",National,"Large (More than 10,000 employees)","140,000",3,KSS,,"http://marist.summon.serialssolutions.com/search?s.cmd=setSort(PublicationDate:desc)&s.fvf%5B%5D=ContentType,Journal+Article,f&s.fvf%5B%5D=ContentType,Newspaper+Article,f&s.fvf%5B%5D=ContentType,Trade+Publication+Article,f&s.light=t&s.q=%22kohl%27s+corporation%22&format=rss ",,https://www.facebook.com/kohlscareers,http://www.ltwitter.com,0,"Our mission is to be the nation""s leading family-focused, value-oriented, specialty department store. ","<ul><li>Founded in 1962 by Max Kohl, incorporated in 1988 and went public in 1992.</li>
<li>Operates 1,200 retail stores throughout the United States.</li>
<li>Offers many national brands including Dockers and Levi""s.</li></ul><br/>

Products:<br/>
Electronics<br/>
Music, Movies, and Books<br/>
Sporting Goods<br/>
Toys<br/>
Apparel and Accessories<br/>
Home furnishings and Decor","“We thrive as a team because we know we can deliver greatness better together than alone. Through collaboration and strong partnerships, we can better fulfill our promise to serve our customers, communities and Associates.
We are driven by great success and results — it""s what has taken us from a small-town store to one of the nation""s largest retailers. We expect greatness and reach it by making ethical decisions and working in an environment of loyalty, trust and integrity.”",$19 billion Net Sales (2013)*,"*From <a href=""http://phx.corporate-ir.net/phoenix.zhtml?c=60706&p=irol-SECText&TEXT=aHR0cDovL2FwaS50ZW5rd2l6YXJkLmNvbS9maWxpbmcueG1sP2lwYWdlPTk0ODIzNjEmRFNFUT0wJlNFUT0wJlNRREVTQz1TRUNUSU9OX0VOVElSRSZzdWJzaWQ9NTc%3d#sB629195B8D16214FA7E3ED859D5DD732"" target=""_blank"">Kohl""s Corporation Annual Report (10-K)</a>","<ul><li>Kohl""s was honored by the U.S. Environmental Protection Agency with the 2014 Energy Star&#174; Partner of the Year for their energy efficient initiatives.</li>
<li>Sells merchandise under the Kohl""s Cares&#174; brand to benefit children""s health and education initiatives.</li></ul>","<a href=""http://www.linkedin.com/company/kohls-department-store""target=""_blank"">LinkedIn</a>",
42,KPMG,"<a href=""https://www.kpmg.com/Global/en/Pages/default.aspx"" target=""_blank"">KPMG Website</a>",,,"Global Board:<br/>
John Veihmeyer, KPMG International Chairman and CEO KPMG U.S.<br/>
John M. Scott, Deputy Chairman KPMG International, Chairman KPMG Europe, Middle East and Africa<br/>
SaiChoy Tham, Chairman KPMG Asia Pacific<br/>
Bill Thomas, Chair KPMG Americas and CEO KPMG Canada","<a href=""https://www.kpmg.com/global/en/careers/Pages/Default.aspx"" target=""_blank"">Careers Website</a>",,"New York, NY (U.S. Headquarters)","New England, Middle Atlantic, South Atlantic, East North Central, East South Central, West North Central, West South Central, Mountain, Pacific (includes Hawaii and Alaska), Outside U.S.",International,"Large (More than 10,000 employees)","23,000 U.S. Branch<br/>155,180 Globally",4,,"KPMG Americas<br/>
KPMG Asia Pacific<br/>
KPMG Europe, Middle East, &#38; Africa","http://marist.summon.serialssolutions.com/search?s.cmd=addFacetValueFilters(ContentType,Trade+Publication+Article)&s.fvf=ContentType,Newspaper+Article,f&s.light=t&s.q=%22KPMG%22&s.sort=PublicationDate:desc&format=rss",,https://www.facebook.com/KPMG,http://www.twitter.com,0,"“Leading organizations are seeking advice to address some of their most complex challenges. By bringing different perspectives, sound judgment and extensive cross-border collaboration, KPMG professionals help to enable clients"" informed decision-making wherever they do business and no matter how far-reaching their operations.""","<ul><li>Formed in 1987 as a result of a merger between Peat Marwick International and Klynveld Main Goerdeler.</li>
<li>Provides tax, audit and financial advisory services. </li>
<li>Has branches in over 155 countries.</li>
<li>Branches are independent, member firms in the KPMG International partnership.</li>
<li>Overseen by a global board that guides all members, member firms commit to common values and standards, but otherwise operate independently. </li></ul>","Through our commitment to our people, our values, embracing diversity and our responsibility to our communities, we aim to create an environment in which our people are proud to work — and to foster a rich pool of talents to support our clients"" business.","<ul><li>23.4 billion Global Revenue</li></ul><br/>
By Service<br/>
<ul><li>10.2 billion Audit Division</li>
<li>4.97 billion Tax Division</li>
<li>8.2 billion Advisory Division</li></ul>",,"<ul><li>Offers training and development programs, including mentors and career coaches.</li> <li>Sponsors and publishes research on industries, economic issues and more.</li></ul>","<a href=""http://www.linkedin.com/company/kpmg"" target=""_blank"">LinkedIn</a>",
43,"Macy""s, Inc.","<a href=""http://www.macysinc.com/"" target=""_blank"">Macy""s, Inc. Website</a>","<a href=""http://www.macysinc.com/for-investors/"" target=""_blank"">Macy""s, Inc. Corporate Website</a>",,"Terry J. Lundgren, Chairman and Chief Executive Officer<br/>
Karen M. Hoguet, Chief Financial Officer","<a href=""http://www.macysjobs.com/"" target=""_blank"">Macy""s Jobs Website</a><br/>
<a href=""http://www.bloomingdalesjobs.com/"" target=""_blank"">Bloomingdale""s Jobs Website</a> <br/>
<a href=""http://www.macysinc.com/careers/"" target=""_blank"">Macy""s, Inc. Careers Website</a>",,"Cincinnati, OH","New England, Middle Atlantic, South Atlantic, East North Central, East South Central, West North Central, West South Central, Mountain, Pacific (includes Hawaii and Alaska)",National,"Large (More than 10,000 employees)","172,500",3,M,"FDS Bank<br/> Macy""s Systems and Technology, Inc.<br/>Macy""s Merchandising Group, Inc.<br/>Macy""s Logistics and Operations*"," http://marist.summon.serialssolutions.com/search?s.cmd=addFacetValueFilters(SubjectTerms,retailing+industry)&s.fvf=ContentType,Newspaper+Article,f&s.light=t&s.q=%22Macy%27s+Inc.%22&s.sort=PublicationDate:desc&format=rss",,https://www.facebook.com/Macys,https://twitter.com/macys,,"“Macy""s, established in 1858, is an iconic retailing brand with about 800 stores operating coast-to-coast, online at macys.com and a Macy""s shopping app for mobile devices. Macy""s offers powerful assortments and the best brands, tailored to each and every customer with obvious value, engaging service and unforgettable moments.”","<ul><li>Macy""s Inc. operates the Macy""s and Bloomingdale""s brands, which comprise 840 total stores in the United States, Puerto Rico, Guam and Washington, D.C and 12 Bloomingdale""s Outlet stores.</li><li>Macy""s Inc. was formerly known as Federated Department Stores, Inc. </li><li>Macy""s Inc. includes over thirty principal private label brands in their stores.</li></ul>",,"<ul><li>Net Sales $ 27.9 billion</li>
<li>Net Income $1.5 billion</li>
<li>2013 was the “fifth consecutive year of improved financial performance.”***</li></ul>","*From <a href=""http://www.macysinc.com/assets/docs/social-responsibility/2013-report-on-social-responsibility.pdf"" target=""_blank"">Macy""s Inc. 2013 Annual Report on Social Responsiblity</a></br>**From <a href=""http://www.fastcompany.com/most-innovative-companies/2014/industry/retail"" target=""_blank""> Fast Company World""s Most Innovative Companies 2014</a></br>***From <a href=""http://www.macysinc.com/Assets/docs/for-investors/annual-report/2013_ar.pdf"" target=""_blank"">Macy""s Inc. Annual Report 2013</a>","<ul><li> Macy""s Inc. hired 695 recent college gradutes for full-time positions in the company""s Executive Development Program in 2013.*</li><li> Fast Company named Macy""s Inc. one of the 2014 Top 10 World""s Most Innovative Companies in Retail.**</li></ul>","<a href=""https://www.linkedin.com/company/macy"" target=""_blank"">LinkedIn</a>",
